Spec Name,Sn,Ag,Cu,Pb,Al,As,Bi,Cd,Fe,Sb,Zn,Au,In,Ni,Ge,P,S,Ni + CO,Sn+Sb,Remark,Remark2,
SPEC SC02,Balance,,0.2+0.2,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,,,,,,,Bar SC02,,
SPEC SC05,Reminder,0.1,0.5+0.2,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.05+0.03,0.001,,,,,ETB SC05,,
SPEC Sn96.7Cu3Ag0.3,Balance,0.2-0.4,2.5-3.5,0.05,0.001,0.03,0.06,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,81-SAC033,,
SPEC Sn97.3Ag0.2Cu0.25Bi2,97+ 1,0.2+0.1,0.25+0.15,0.05,,,2.0+0.5,0.002,,,,,,,,,,,,Bar-SABC25-1-05,,
SPEC SOLDER PASTE SAC0307,Balance,0.3+0.1,0.7+0.1,<0.05,<0.005,<0.03,<0.10,<0.001,<0.02,<0.25,<0.003,,<0.10,<0.01,,,,,,,,
SPEC SOLDER PASTE SnBi58,42+0.5,0.1,0.05,<0.1,<0.001,0.03,Balance,0.002,<0.02,0.05,0.001,,,<0.01,,,,,,P203-Sn42Bi58,,
JIS Z 3282-2006 Sn92Cu6Ag2,Balance,1.8-2.2,5.5-6.5,0.05,0.001,0.03,0.08,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,Bar SAC2060,,
JIS Z 3282-2006 Sn95.8Ag3.5Cu0.7,Reminder,3.5+0.2,0.7+0.2,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,,,
JIS Z 3282-2006 Sn96.5Ag3.5,Balance,3.3-3.7,0.05,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,Bar SA35,,
JIS Z 3282-2006 Sn96.5Ag3Cu0.5,Reminder,3.0+0.2,0.5+0.2,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,ETB SAC3005,,
JIS Z 3282-2006 Sn96Ag4,Balance,3.5-4.0,0.05,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,Bar SA4,,
JIS Z 3282-2006 Sn97Ag3,Reminder,3.0+0.2,0.05,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,ETB SA3,,
SPEC SAC3810,Balance,3.5-4.1,0.7-1.3,0.05,0.001,0.03,0.1,0.002,0.02,0.1,0.001,0.05,0.1,0.01,,,,,,ETB SAC3810,,
SPEC SOLDER PASTE SAC3005,Balance,3.0+0.1,0.5+0.1,<0.05,<0.005,<0.03,<0.01,<0.001,<0.02,<0.25,<0.003,,<0.10,<0.01,,,,,,,,
